tweet_id,tweet_time,tweet_text,location,retweets,vaccine,sentiment_vader,sentiment_textblob
1.44E+18,22/09/2021 00:04,The Cocaine crooner who released an anti vaccine anthem in August did receive the AstraZeneca doses however OH REALLY,California,0,Astrazeneca,,
1.44E+18,18/09/2021 15:29,Such a load of BS The vaccine discrimination has begun So if I got Astrazeneca from an African nation I am considered unvaccinated I hope they can confirm if one can get another jab say Pfizer on top of the already taken vaccine,New York,2,Astrazeneca,,
1.44E+18,17/09/2021 01:56,Moderna sounds like it was named by a 5 year old Pfizer sounds like a classic British dish and AstraZeneca sounds like if a vaccine was also a Russian stripper,North Carolina,0,Astrazeneca,,
1.44E+18,17/09/2021 01:07,everyone gets the mRNA vaccine Even those who chose a viral vector vaccine are now being told that s not enough and are told not to get another j amp j or AstraZeneca but that they should still get a jab of 2 of Pfizer mRNA based What is it about the mRNA vaccine that is causing,California,0,Astrazeneca,,
1.44E+18,17/09/2021 00:32,2 4 The Pfizer BioNTech vaccine will now be named Comirnaty the Moderna vaccine will be named SpikeVax and the AstraZeneca vaccine will be named Vaxzevria Copypasta from,Georgia,0,Astrazeneca,,
1.44E+18,16/09/2021 17:09,AstraZeneca s could be either a vaccine or a Serie B team,Virginia,0,Astrazeneca,,
1.44E+18,16/09/2021 11:34,Some COVID 19 vaccines are associated with an extremely rare syndrome known as vaccine induced thrombotic thrombocytopenia VITT It was discovered in March 2021 in connection to amp COVID 19 vaccines Vessels to your balls can clot,Virginia,0,Astrazeneca,,
1.44E+18,30/09/2021 00:41,On average the chance of a white American having a potentially deadly blood clot is 3 in 1 000Germany stopped giving citizens under 60 the AstraZeneca vaccine after 31 severe blood clots in 2 7 MILLION people Great example of how overly cautious vaccine roll outs are,New York,0,Astrazeneca,,
1.44E+18,29/09/2021 15:24,1 This study doesn t account for disease severity the most important factor 2 The vaccinated cohort included the prior infected too 3 And it still shows natural immunity gt AstraZeneca So Prof Crotty s assertion that vaccine immunity did somewhat better is nonsense,New York,0,Astrazeneca,,
1.44E+18,02/10/2021 17:54,Which vaccine Astrazeneca That vaccine is not allowed in the US because of numerous issues,New Jersey,0,Astrazeneca,,
1.44E+18,30/09/2021 00:41,On average the chance of a white American having a potentially deadly blood clot is 3 in 1 000Germany stopped giving citizens under 60 the AstraZeneca vaccine after 31 severe blood clots in 2 7 MILLION people Great example of how overly cautious vaccine roll outs are,New York,0,Astrazeneca,,
