tweet_id,tweet_time,tweet_text,location,retweets,vaccine,sentiment_vader,sentiment_textblob
1.44e+18,22/09/2021 00:04,Cocaine crooner released anti vaccine anthem August receive AstraZeneca doses however OH REALLY,California,0,Astrazeneca,negative,positive
1.44e+18,18/09/2021 15:29,load BS vaccine discrimination begun got Astrazeneca African nation considered unvaccinated hope confirm one get another jab say Pfizer top already taken vaccine,New York,2,Astrazeneca,positive,positive
1.44e+18,17/09/2021 01:56,Moderna sounds like named 5 year old Pfizer sounds like classic British dish AstraZeneca sounds like vaccine also Russian stripper,North Carolina,0,Astrazeneca,positive,positive
1.44e+18,17/09/2021 01:07,everyone gets mRNA vaccine Even chose viral vector vaccine told enough told get another j amp j AstraZeneca still get jab 2 Pfizer mRNA based mRNA vaccine causing,California,0,Astrazeneca,neutral,neutral
1.44e+18,17/09/2021 00:32,2 4 Pfizer BioNTech vaccine named Comirnaty Moderna vaccine named SpikeVax AstraZeneca vaccine named Vaxzevria Copypasta,Georgia,0,Astrazeneca,neutral,neutral
1.44e+18,16/09/2021 17:09,AstraZeneca could either vaccine Serie B team,Virginia,0,Astrazeneca,neutral,neutral
1.44e+18,16/09/2021 11:34,COVID 19 vaccines associated extremely rare syndrome known vaccine induced thrombotic thrombocytopenia VITT discovered March 2021 connection amp COVID 19 vaccines Vessels balls clot,Virginia,0,Astrazeneca,neutral,positive
1.44e+18,30/09/2021 00:41,average chance white American potentially deadly blood clot 3 1 000Germany stopped giving citizens 60 AstraZeneca vaccine 31 severe blood clots 2 7 MILLION people Great example overly cautious vaccine roll outs,New York,0,Astrazeneca,positive,positive
1.44e+18,29/09/2021 15:24,1 study account disease severity important factor 2 vaccinated cohort included prior infected 3 still shows natural immunity gt AstraZeneca Prof Crotty assertion vaccine immunity somewhat better nonsense,New York,0,Astrazeneca,positive,positive
1.44e+18,02/10/2021 17:54,vaccine Astrazeneca vaccine allowed US numerous issues,New Jersey,0,Astrazeneca,neutral,neutral
1.44e+18,30/09/2021 00:41,average chance white American potentially deadly blood clot 3 1 000Germany stopped giving citizens 60 AstraZeneca vaccine 31 severe blood clots 2 7 MILLION people Great example overly cautious vaccine roll outs,New York,0,Astrazeneca,positive,positive
1.44e+18,29/09/2021 15:24,1 study account disease severity important factor 2 vaccinated cohort included prior infected 3 still shows natural immunity gt AstraZeneca Prof Crotty assertion vaccine immunity somewhat better nonsense,New York,0,Astrazeneca,positive,positive
1.45e+18,07/10/2021 07:09,Got news kampung sis mom finally got first dose AstraZeneca vaccine Alhamdulillah,California,0,AstraZeneca,neutral,positive
1.45e+18,13/10/2021 00:44,total 789 people Taiwan died receiving new crown vaccine mostly related AstraZeneca vaccine,Indiana,0,AstraZeneca,negative,positive
1.45e+18,14/10/2021 01:14,Imagine going trouble stealing vaccine end AstraZeneca,New York,0,AstraZeneca,negative,negative
1.45e+18,15/10/2021 16:02,Vaccination Weekend October 16 17 AUA 2nd doses COVID 19 Pfizer vaccine administered adults children 1st doses Pfizer weekend MPCC opened Saturday 9am 3pmVaccines available AstraZenecaJandJ Sinopharm,New York,0,AstraZeneca,neutral,positive
1.45e+18,18/10/2021 23:03,Exposed Colombia Vaccine Contracts Big Pharma Right Came case Camilo Enciso reveals power pharmaceutical companies,Mississippi,0,AstraZeneca,negative,positive
1.45e+18,18/10/2021 20:07,Nipah virus could cause another deadly pandemic warns inventor AstraZeneca COVID vaccine HLTH2021,Massachusetts,0,AstraZeneca,negative,negative
