	tweet_id	tweet_time	tweet_text	location
0	1441174764496818178	2021-09-23 22:56:54	This invasion is deliberate.   The whole $15/hour minimum wage idiot #Democrats voted for won’t exist.  Companies will hire illegal aliens for pennies on the dollar with the endorsement of the state.  COMPLY OR DIE! #COVID19 https://t.co/9SHHOQtdXk	Gainesville, FL
1	1441173719443861507	2021-09-23 22:52:45	This is absolutely freaking insane. #union #FightBack #COVID19 #workersrights #EssentialWorkers https://t.co/N6UYCP6w4j	Staten Island, NY
2	1441171474602082309	2021-09-23 22:43:49	Rev. Jesse Jackson recovered from #COVID19, looking very refreshed, revitalized and really reanimated!!! Totally #AWESOME!!! Thank #GOD!!!!! https://t.co/Hul2Y0qBdX	Silver Spring, MD
3	1441170475443318789	2021-09-23 22:39:51	$MRNA  has only 1 approved drug That 1 drug is the #COVID19 vaccine Market rewards them with almost $200 BILLION market cap 🤨 https://t.co/LrU0LsXrXn	Houston, TX
4	1441168947529846784	2021-09-23 22:33:47	https://t.co/emkg0oFjAi#telemedicine #COVID19 A physician that does NOT push the jab but can get the necessary treatment to you in any state.	Texas, USA
5	1441167519574728711	2021-09-23 22:28:06	@lavern_spicer Comment on this: Florida leads the nation in number of #COVID19 deaths of nursing home residents and staff. New AARP report shows 237 resident deaths occurred in Florida’s nursing homes in the four weeks ending August 22.	Tampa, FL
6	1441167469654077452	2021-09-23 22:27:55	.@sohmer After @lartist not exactly sure what will happen to #leasticoulddo have a prenuptial agreement with the artist yet how the #comic sense #COVID19 you know learn how to deal with it slowly https://t.co/VuPZBhDyrq	Vermont, USA
7	1441166685461962753	2021-09-23 22:24:48	Wtf alergy #COVIDIOTS #flushot #COVID19	Orlando, FL
8	1441165698357608463	2021-09-23 22:20:52	Not only will the USA have the current #COVID19  pandemic, but also a huge class action law suit, for the states holding back on #TeachersProFaceMasks who returned to classes &amp; demand  kids wear masks.  Such as in FL; blame @RonDeSantisFL	Chicago, IL
9	1441165420430516225	2021-09-23 22:19:46	@AtriumHealth @Raynard_W @SecMandyCohen @LydiaWroth @keith_caughran @wharveyc @KeeslerSandy @CraigTey @Why_was_it_fun @TamaraBruno5 Israel TV Drops the bombshell. Read the subtitles.No difference. Say it again No difference.#NoVaccinePassportsAnywhere #COVID19 https://t.co/6Xjo19p68O	Charlotte, NC
10	1441165305804328960	2021-09-23 22:19:19	@wsoctv @wharveyc @keith_caughran @TheLarsonPage @LydiaWroth @KeeslerSandy @CraigTey @Raynard_W @SecMandyCohen Israel TV Drops the bombshell. Read the subtitles.No difference. Say it again No difference.#NoVaccinePassportsAnywhere #COVID19 https://t.co/6Xjo197uKe	Charlotte, NC
11	1441163439414517767	2021-09-23 22:11:54	Calling my name like #COVID19 https://t.co/3L37wmPspo	Stafford, TX
12	1441162788114624517	2021-09-23 22:09:18	“MISTREATMENT TORTILLAS”Production workers for Chicago’s famed El Milagro tortillas walk out in protest of what’s they say are harsh working conditions, long hours, underpayment amid tortilla shortage. Workers say at least 85 employees contracted #COVID19 @ABC7Chicago https://t.co/L4itHBB6X5	Chicago, IL
13	1441162309208920073	2021-09-23 22:07:24	Inbox: Unfortunate news out of @FCPSKY this evening. The school community in mourning a loss of a student who battled #COVID19 https://t.co/1o5BBDzRoO	Kentucky, USA
14	1441162130124943360	2021-09-23 22:06:41	@GovRonDeSantis Good. Now you can't keep pushing #Regeneron for profit. Start pushing the #Vaccine. God forbid you PREVENT people from getting #COVID19.	Worcester, MA
