tweet_id,tweet_time,tweet_text,location,retweets
1444341948760748033,2021-10-02 16:42:09,"Kramer from Seinfeld...now that's a pitch:Kramer tries to stop Jerry from taking the vaccine, using  Newman to send increasingly misleading info via USPS. George spirals after accidentally getting both Pfizer &amp; Moderna. Elaine's new boyfriend's great 'til he got the J&amp;J vaccine https://t.co/G6FpQdKXMi","Los Angeles, CA",0
1444318048580775936,2021-10-02 15:07:11,"FDA won't extend life of J&amp;J Covid vaccine doses, may extend Modernahttps://t.co/W7uxSkLoLY","Amityville, NY",0
1444307277968601089,2021-10-02 14:24:23,"Dr. Carrie Madej — examining Moderna and J&amp;J ""vaccine"" vials.  DISTURBING 🔥 https://t.co/u2y5jhMd13","Scottsdale, AZ",0
1444265643285618689,2021-10-02 11:38:57,"October will be a big month in vaccine rollout/discussion - FDA Vax Advisory Committee will discuss mix and match boosters, boosters for Moderna and J&amp;J, and EUA for 5-11s. https://t.co/o4ekrT8NxU","Maryville, TN",0
1444108430977994752,2021-10-02 01:14:14,🗓 VRBPAC has announced 3 upcoming meetings for vaccine discussions:- October 14: Moderna booster- October 15: J&amp;J booster- October 15: Mix-and-match boosters- October 26: Pfizer vaccine for kids 5-11  🎃💉❔🙏🏻https://t.co/wdnY0RQBfh,"Conway, AR",0
1444095460210262021,2021-10-02 00:22:42,"@tylerjschoon Just got back from Maui with my fiancé. It’s open, just make sure you fill out the information in Hawaii’s safe travels website. Upload your vaccine card, details of your trip, and fill out a survey and receive a QR code 24 hrs before your flight. Have fun!","Missouri, USA",0
1444052296057462786,2021-10-01 21:31:11,"In vaccine news: @US_FDA advisors plan to meet Oct 14 &amp; 15 on Moderna, J&amp;J boosters and Oct 26 on Pfizer vaccine for kids 5-11 years old!","Arlington, VA",0
1443933243905126401,2021-10-01 13:38:06,"The Durham Public Library HAS confirmation that the DHHS Mobile Equity COVID-19 Vaccine Van will be at the library TODAYFriday, October 1stfrom 10:00 am until 2:00 pm.Walk-ins are welcome.Open to the public ages 12+Pfizer, Moderna and J&amp;J vaccinations will be available https://t.co/zCz3vQeVdE","New Hampshire, USA",0
1443887335419138048,2021-10-01 10:35:41,"Lord, have mercy on her soul but stop this idiot! #aduitall50states NY Governor Forced to Take Emergency Measures as Her Vaccine Mandate Leads to Health Worker ShortagesREAD: https://t.co/xwKulnFHoI","Texas, USA",1
1443723736620883974,2021-09-30 23:45:36,"@Roper_Lab @covidtweets This is the flaw: the J&amp;J vaccine was designed with the mistaken belief that the spike protein was not a toxic antigen.  Once this assumption was refuted, it no longer fit that definition.","Manhattan, NY",0
1443651576686686212,2021-09-30 18:58:52,@DrVirgo1981 😂 Game on 😂 J&amp;J has a special place for traditionalists or people afraid of getting an mRNA vaccine. It’s a viral vector vaccine. They’ve been used forever.,"Framingham, MA",0
1443593657982984192,2021-09-30 15:08:43,@ENirenberg @IDWeek2021 No there is not. The J and J Rec for young patients w concerns about myocarditis was for adults above 18 yrs per panel. Hopefully the vaccine options widen as more research happens in the coming months and eligible age cohorts expand,"Chambersburg, PA",0
1443540443065634816,2021-09-30 11:37:15,"@nickantzoul @Choseusernam @J_Kartch @wizjb1 @TommyBeer It has happened before. The ""Spanish flu"" in 2018 2019 had similar public health restrictions and similar public response. Difference is we didn't develop a vaccine which..if people would understand..would accelerate our recovery from the pandemic","Pennsylvania, USA",0
1443519260995764227,2021-09-30 10:13:05,"Got the J&amp;J vaccine yesterday. Since yesterday evening, I have really achy all over. #VaccineMandate #johnsonandjohnson #thursdaymorning","Bryan, TX",0
1443452349113004034,2021-09-30 05:47:12,@thehill Vaccine r disgusting . Stop killing people with this dangerous vaccines especially j and j vaccine's,"Mill Valley, CA",0
1443373894598025218,2021-09-30 00:35:27,"This is not a surprise to those of us that have researched #covid19...13 different #organs get blood #clots people, of which the #brain is just one.Until everyone is #vaccinated there will be #variants!Your #mask with a #filter is your shield post vaccine.Too many idiots.j https://t.co/DHzOPlxJaU","Bardstown, KY",1
1443371451449581573,2021-09-30 00:25:45,Luka could try this and no one would bat an eye. Trey Burke gon be playing in that league with J.Cole if he dont get the vaccine https://t.co/cKyTKjI6Et,"Denton, TX",0
1443368173701632003,2021-09-30 00:12:43,@Kevmath Who’s enforcing this? Asking for a friend. Also any info for people coming to Vegas who wanna get the j and j vaccine in time for the main event?,"North Cape May, NJ",0
1443362384379326465,2021-09-29 23:49:43,@Macha96x He himself has the vaccine,"Bayamón, USA",0
1443359804777451529,2021-09-29 23:39:28,@jilevin I was one of the first children in #Cuba to receive the polio vaccine!Since then I have received the #smallpox #typhus #yellowfever #tetanus #pneumonia several #influeza and now #COVID19 J&amp;J vaccine. Looking forward to my booster shot when they aporove it,"Coral Gables, FL",0
1443357484652056579,2021-09-29 23:30:15,Absolutely no vet should be dishonorably  discharged for refusing a vaccine 💉! #TikTok https://t.co/zZWv5ISEgZ,"Alabama, USA",0
1443349293906104322,2021-09-29 22:57:42,Ohhh Kay them #russians are at it again lol smdh https://t.co/dLd741OZ0z,"San Francisco, CA",0
1443296168826609664,2021-09-29 19:26:36,"mRNA vaccine associated myocarditis more common in males, 12-29 y, more likely after second dose. Risk benefit assmnt needed before 2nd dose if the 1st dose caused myocarditis. Consider J&amp;J as alternative.  @IDWeek2021 #IDweek2021 https://t.co/MNP1pp2wMe","Chambersburg, PA",9
1443292500500701184,2021-09-29 19:12:01,@mumbles_j Shiiiiet Tell him to hmu if he wants to make 500k in commission and not have to worry about a vaccine.,"Poway, CA",0
1443287706692358147,2021-09-29 18:52:58,@ajclassic @Kept_It_Real55 @PUREBLOOD2020 @Chuckchewy1 @mumbles_j @bigbodybae If that's you or anyone else and you think the vaccine will help you or save you by all means get it!!! I'm just not,"Nashville, TN",0
1443270924363513857,2021-09-29 17:46:17,"@MarkLevineNYC @CarlinaRivera @NYCCouncil Slightly off topic, but SF is allowing people who received J&amp;J vaccine to get boosters - can NYC do the same, and if not, why not?","Brooklyn, NY",0
1443252184435544064,2021-09-29 16:31:49,"@DanHartness @Dyl4America @seattletimes Young people such as myself, who are healthy, fit, and have either had Covid are still have antibodies do not need the vaccine.Dylan would know this place, the owner of J&amp;J repair in moville spent a week in the hospital w/Covid. Really bad shape. He’s vaccinated…","Iowa, USA",0
1443249626992283660,2021-09-29 16:21:40,@mumbles_j He thought this was a smart move. smh. Whatever. I’d be right there applying as he ‘exercises his freedoms’ with my vaccine card in hand. #GetVaccinated,"Philadelphia, PA",0
1443221889615286273,2021-09-29 14:31:26,@Chuckchewy1 @Kept_It_Real55 @mumbles_j @bigbodybae You get the vaccine,"Nashville, TN",0
1443221401935171590,2021-09-29 14:29:30,@hey_rachelray @Kept_It_Real55 @mumbles_j @bigbodybae This rabbit hole we've jumped down has many twists and turns so I'll leave y'all with this... you get the vaccine,"Nashville, TN",0
1443127040689987586,2021-09-29 08:14:33,@LakotaMan1 Same here I did home healthcare for a couple of years then I got sick and had back to back 2 major surgeries 15 years ago I am an asthmatic and diabetic I jumped at the chance to get the 1 jab j&amp;j vaccine i have been covering my face and staying at home even before pandemic,"Chicago, IL",0
1443057309991669763,2021-09-29 03:37:28,"@dodo83747283738 Yes you are by claiming there are  vaccine related injuries going unreported, you are saying they are lyingYou claim your father had a stroke after J&amp;J vaccine...are you claiming your father is a woman under 50? J&amp;J has been transparent in their adverse reaction reporting","El Cajon, CA",0
1443027127037673473,2021-09-29 01:37:31,Very happy to learn that the NIH is conducting these studies as I’m hoping to get a mRNA booster to my J&amp;J vaccine. https://t.co/lkP4WTq4Dt,"Washington, USA",2
1443022408227622912,2021-09-29 01:18:46,@staugustine No way. I am test subject for the J &amp; J Vaccine and I already had two shots. The vaccine is safe and effective. It’s critical all are vaccinated. Vaccine Passports is the way to go for all.,"Jupiter, FL",0
1443014147889901568,2021-09-29 00:45:57,fact: my natural antibodies have outlasted both the J&amp;J and Moderna vaccine in two blood relatives.,"Mississippi, USA",0
1443006554492620810,2021-09-29 00:15:47,@SueCline Jealous of your booster! Waiting on that guidance for my J&amp;J vaccine 😷Hope your process is seamless and you feel okay afterward!,"Richmond, VA",0
1442967151300644876,2021-09-28 21:39:12,@StephanieSimon_ @erichhartmann @j_g_allen @washingtonpost Does everyone remember in the spring “Get the vaccine and get back to normal” and “If you’re vaccinated you don’t need to wear a mask”? Or has that been scrubbed from history like Stalin did in the USSR? #COVID19,"Paloma Creek, TX",0
1442943212209856513,2021-09-28 20:04:05,@i2Aaronn @BrandonHonaker1 Here’s the thing - it’s not LeBrons (or any athlete or celebs or politicians) responsibility to promote the vaccine. The data is there. People can make their own decisions and live with the consequences either way. This has to end.,"Virginia, USA",0
1442915004215279617,2021-09-28 18:11:59,#Covid19 J&amp;J vaccine trial update! I get a booster shot at the beginning of November!!!! YAY https://t.co/fvXXM1fcTI,"Raleigh, NC",0
1442905257500053504,2021-09-28 17:33:15,@BenevolentEms_ J&amp;J vaccine uses traditional virus based technology that’s been administered &amp; studied for decades,"Bronx, NY",0
1442886558969778179,2021-09-28 16:18:57,The Way They Forcing This Vaccine On People Is Making Me Give The Side Eye,"Washington, DC",0
1442819614925275137,2021-09-28 11:52:57,"@AnitaRo74232270 @m00nkittenz @Mark_J_ODonnell The vaccine does not use aborted fetuses. My goodness lady, get your facts right.","Pennsylvania, USA",0
1442697105752088579,2021-09-28 03:46:08,Okay if Dr. J comes out and says do not take the vaccine I will reconsider.   Pretty sure he got it. But these guys. No doctors here. Literally and figuratively. @KyrieIrving @RealDealBeal23 @22wiggins @JuliusErving @NBAonTNT @NBA,"Oklahoma, USA",0
1442689534462943235,2021-09-28 03:16:03,"I have worked in different jobs over the last year near those that had covid and some offices where some have died.  I got the weakest vaccine that was still accepted.. J&amp;J 1 shot (not 3) yet in the last month I’ve barely had a sniffle, and I don’t fear it.  I respect the choice","Florida, USA",0
1442669249529585669,2021-09-28 01:55:27,"@livinginthenow I got the Moderna vaccine (2nd in April). Happy with it,  no side effects. I've heard that the FDA/CDC will be considering a booster for both, Moderna and J&amp;J within the next two weeks. They recommend waiting and not jumping the gun or mixing vaccines.Best of luck.","Nicholasville, KY",0
