tweet_id,tweet_time,tweet_text,location,retweets
1446963006269636608,2021-10-09 22:17:18,First time out since 11/2/20! 🎉On my way for a hot date with #Moderna . 🙏🏻😷💉#immunosuppressed #Quarantine #QuarantineLife #vaccine https://t.co/kuRRk3fF2K,"Burbank, CA",0
1446956966358704128,2021-10-09 21:53:18,"Moderna, Racing for Profits, Keeps Covid Vaccine Out of Reach of Poor.https://t.co/qdl2V22amq","Bethesda, MD",0
1446950177554587652,2021-10-09 21:26:20,"https://t.co/BKd8jnHesvAs a former member of ACT-UP this just pisses me off. We fought against the greed and avarice of the drug companies, and years later they’re still getting away with the same shit. When will we get sick and tired of the kleptocracy?","Redwood City, CA",0
1446914277588316162,2021-10-09 19:03:40,"@Moderna, this is not cool!Racing for Profits, Keeps Covid Vaccine Out of Reach of Poor https://t.co/caacRmvnf8","Michigan, USA",0
1446912955061350404,2021-10-09 18:58:25,@OrganizingPow3r @ryangrim And when a bad batch of “moderna” vaccine made in a third world country kills a few thousand people you’ll be nowhere to be found,"Pennsylvania, USA",0
1446906260754939910,2021-10-09 18:31:49,"Gross. Despicable. Horrifying. Capitalism. Sigh.Moderna, Racing for Profits, Keeps Covid Vaccine Out of Reach of Poor https://t.co/X3T7quCVGx","Dallas, TX",0
1446905948170227712,2021-10-09 18:30:34,@notdred @andrew_croxford Damn you moderna messing up my vaccine diplomacy and propaganda opportunities!,"Dallas, TX",0
1446898970584834049,2021-10-09 18:02:51,"Grrrrrrrr...Moderna, Racing for Profits, Keeps Covid Vaccine Out of Reach of Poor https://t.co/46uELfIl5d","Pittsburgh, PA",0
1446893009186951173,2021-10-09 17:39:10,I have lots of friends in SE Asia who received the Sinovac vaccine early and still opted for the two dose Pfizer or Moderna vaccine once available. That’s the opposite of vaccine hesitancy.,"Bellingham, WA",0
1446892047961575430,2021-10-09 17:35:20,"The @NIH should (1) demand that doses for the EU are redirected to Africa, (2) share the vaccine recipe with manufacturers in the Global South, and (3) claim back the $20 billion in revenue @moderna_tx is making from a vaccine funded by the US taxpayer #VaccineJustice https://t.co/E5c9M8KJrU","Manhattan, NY",0
1446872547534934021,2021-10-09 16:17:51,"Americans dead from COVID: 713,000+Americans dead from Moderna vaccine: 0Focus on solutions, not hysteria. https://t.co/XMIkLb4jDY","Chula Vista, CA",0
1446872127500587012,2021-10-09 16:16:11,Some poorer countries are paying more and waiting longer for the company’s vaccine than the wealthy — if they have access at all. https://t.co/JFUrIvCdLs,Indianapolis International Airport (IND),0
1446864955547000833,2021-10-09 15:47:41,NYTimes https://t.co/BQGIzLmJiZ,"Cinco Ranch, TX",0
1446844533988339716,2021-10-09 14:26:32,"Moderna, Racing for Profits, Keeps Covid Vaccine Out of Reach of Poor https://t.co/I1Ct7XprMf","Tuscaloosa, AL",0
1446825970393100289,2021-10-09 13:12:46,@galswguitars202 @SamBraslow The problem is government collusion on Ivermectin and the holdup of the safer and superior vaccine from Novovax which over night if available no one would take Moderna or Pfzier formulations.,"Aventura, FL",0
1446781244218376193,2021-10-09 10:15:03,@SolomonRex278 @OccupyDemocrats It's not experimentalThe Pfizer vaccine is fully authorized The Moderna is in final stage of full authorizationIf you don't know how the process works or you don't understand you should ask. Don't spread misinformationEspecially when there so many ways to get real info,"El Cajon, CA",1
1446746774992039936,2021-10-09 07:58:05,@tmbhmltn @CTGOP @CTDems U need to do more research. Follow the science.https://t.co/WjIezbslcXhttps://t.co/35W2hujBTz,"New Canaan, CT",0
1446667200920698885,2021-10-09 02:41:53,I won't be getting my 2nd Moderna shot soon. It's been 6 months since my first shot.  I'm not an antivaxer. I'm just waiting to see if negative data comes out. What if we find out the vaccine knocks 4 years off men's lives? Very strange that more people died in 2021 vs 2020.,"Texas, USA",0
