tweet_id,tweet_time,tweet_text,location,retweets
1450248745115734021,2021-10-18 23:53:39,@Lynwapo @JourneyJazzy @johncanzanobft Wrong. Pfizer has full FDA approval just like the polio vaccine and many others that we've been using for decades,"Renton, WA",0
1450236148178161665,2021-10-18 23:03:36,"""He Exposed Colombia’s Vaccine Contracts with Big Pharma. Then the Right Came for Him. - What the case of Camilo Enciso reveals about the power of pharmaceutical companies.""  https://t.co/9zFehLnUli","Greenwood, MS",0
1450218417672400898,2021-10-18 21:53:09,"3ra dosis 💉✅ Covid Booster Done, Flu shot Done... #HealthyLife #Pfizer #vaccine","Haines City, FL",0
1450206370909732865,2021-10-18 21:05:17,@TheRickyDavila I’ve been fully vaccinated with the Pfizer vaccine. I do still wear a mask and socially distance!,"California, USA",0
1450168691409182722,2021-10-18 18:35:33,@PedInsider Was your practice able to preorder the 5-11 version of the @pfizer COVID vaccine from @GaDPH ?,"Georgia, USA",0
1450158978990813187,2021-10-18 17:56:57,"@TheRickyDavila Yes, my wife &amp; I got our 2nd Pfizer shot April 15, 2021, we continue to mask indoors to keep YOU safe (talking to unvaccinated), &amp; mostly to keep our granddaughter safe (she’s too young to get the vaccine now).","Nebraska, USA",0
1450156675600637965,2021-10-18 17:47:48,@Uber My rides to and from q Covid Pfizer vaccination on trips taken last Friday were not credited/refunded. Is the @WhiteHouse vaccine partnership over?,"Wisconsin, USA",0
1450155135846559748,2021-10-18 17:41:41,If y'all get the vaccine make sure you get Pfizer. Cuz I just bought stock in the company 😂,"Metairie, LA",0
1450144160367980554,2021-10-18 16:58:04,Just got my second covid-19 Pfizer vaccine shot and doing just fine!@KaIeyCuocoBR @kaley_folsomm @kaleycuocodaily @AddictCuoco @kaleycuoco_xo @KaleyCuocoArg @kaleycuocofanUK @KaleyOficial @QueenKaleyCuoco https://t.co/ejRVlfIYJx,"Manhattan, KS",0
1450141492421537802,2021-10-18 16:47:28,"Getting my 3rd jab for the Pfizer vaccine in the COVID-19 study group. For the record, zero positive infections in over a year. https://t.co/pGQRUpR9aA",north alabama research center fitness way athens al,0
1450127771561250818,2021-10-18 15:52:57,@DrSnowInBus Have you seen any research benefits of mixing type of booster vaccine for folks that got first 2 as Pfizer? HCT of Wife (pregnant) and I (type 1 diabetes) have suggested booster. Thinking just stay course with Pfizer. Anything close to pub that might change minds?,"Brooklyn, NY",0
1450125774909054980,2021-10-18 15:45:01,"Boosted! Proud to participate in the Pfizer clinical trials for the COVID-19 vaccine and booster. #fullyvaxxed #doitforthechildren #communityminded #staymasked #beresponsible @ Clinical Research Associates, Inc. https://t.co/v07K2HW0fe","Nashville, TN",0
1450124250380046339,2021-10-18 15:38:57,"Boosted! Proud of my participation in the Pfizer clinical trial for the COVID-19 vaccine. #fullyvaxxed #socialconciousness #communityfirst #staymasked #doitforthechildren @ Clinical Research Associates, Inc. https://t.co/ve3yvrA6p7","Nashville, TN",0
1450122417129525249,2021-10-18 15:31:40,"@Gadflyonthewal1 @ScottAdamsSays I’m vaxxed, both shots Pfizer. A friend of mine, 56 years old got the vaccine and had a stroke the next day. So take a seat, troll.","West Conshohocken, PA",0
1450108736488546305,2021-10-18 14:37:19,Pfizer-BioNTech COVID-19 Vaccine Frequently Asked Questions https://t.co/fpOV1fgwxV #Pfizer #FAQ #COVID19 #vaccine,"Miami, FL",1
1450093491132907524,2021-10-18 13:36:44,"@JudicialWatch can you please give information on this: The U.S. still doesn't have an FDA-approved vaccine as he exposed what was really approved."" Says SEN. RON JOHNSON: ""The FDA played a bait and switch. They approved the Comirnaty version of Pfizer drugs.","California, USA",0
1450089713109385221,2021-10-18 13:21:43,"@HighWireTalkis this true? ""The U.S. still doesn't have an FDA-approved vaccine!"" stated SEN. RON JOHNSON: ""We do not have an FDA-approved vaccine being administered in the U.S. The FDA played a bait and switch, they approved the Comirnaty version of Pfizer drugs.""","California, USA",0
1450088329324601345,2021-10-18 13:16:13,"@HighWireTalk can you please provide feedback on this information? ""Pfizer-BioNTech COVID-19 Vaccine NOT FDA approved &amp; used in USA."" ""Comirnaty Vaccine by Pfizer is the FDA approved application only in the UK!""","California, USA",0
1450075143842193419,2021-10-18 12:23:50,"Good morning everyone, don't forget to get your covid-19 Pfizer vaccine at Wal-mart.","Kansas, USA",0
