tweet_id,tweet_time,tweet_text,location,retweets,vaccine
1.44047e+18,22/09/2021 00:04,"""The “Cocaine” crooner, who released an anti-vaccine anthem in August, did receive the AstraZeneca doses, however.""OH REALLY https://t.co/trvhTQfPHt",California,0,
1.43925e+18,18/09/2021 15:29,@KimberleyeLeo Such a load of BS. The vaccine discrimination has begun. So if I got Astrazeneca from an African nation I am considered unvaccinated. 😑 I hope they can confirm if one can get another jab say Pfizer on top of the already taken vaccine.,New York,2,
1.43868e+18,17/09/2021 01:56,"Moderna sounds like it was named by a 5 year old, Pfizer sounds like a classic British dish, and AstraZeneca sounds like if a vaccine was also a Russian stripper https://t.co/VI2YCSRpPl",North Carolina,0,
1.43867e+18,17/09/2021 01:07,"everyone gets the mRNA vaccine. Even those who chose a viral vector vaccine are now being told that's not enough, and are told not to get another j&amp;j or AstraZeneca, but that they should still get a jab of 2 of Pfizer mRNA based. What is it about the mRNA vaccine that is causing",California,0,
1.43866e+18,17/09/2021 00:32,"(2/4) The Pfizer-BioNTech vaccine will now be named Comirnaty, the Moderna vaccine will be named SpikeVax, and the AstraZeneca vaccine will be named Vaxzevria. (Copypasta from @GovCanHealth ) https://t.co/ojVd6dOKTQ",Georgia,0,
1.43855e+18,16/09/2021 17:09,@ariellec AstraZeneca’s could be either a vaccine or a Serie B team,Virginia,0,
1.43847e+18,16/09/2021 11:34,Some COVID-19 vaccines are associated with an extremely rare syndrome known as vaccine-induced thrombotic thrombocytopenia (VITT). It was discovered in March 2021 in connection to @AstraZeneca &amp; @JNJNews COVID-19 vaccines!Vessels to your balls can clot!https://t.co/d5gYUs0M0O,Virginia,0,
1.44338e+18,30/09/2021 00:41,"On average, the chance of a white American having a potentially deadly blood clot is 3-in-1,000Germany stopped giving citizens under 60 the AstraZeneca vaccine after 31 severe blood clots in 2.7 MILLION people Great example of how overly-cautious vaccine roll-outs are https://t.co/6hrxKFBjve",New York,0,
1.44324e+18,29/09/2021 15:24,"@thereal_truther @lsprogress @Leftylockdowns1 1. This study doesn’t account for disease severity, the most important factor.2. The vaccinated cohort included the prior infected too.3. And it still shows natural immunity &gt; AstraZeneca.So Prof Crotty’s assertion that “vaccine immunity did somewhat better” is nonsense.",New York,0,
1.44436e+18,02/10/2021 17:54,"@HybridTinacris @GregWYoder @RubinReport Which vaccine? Astrazeneca? That vaccine is not allowed in the US, because of numerous issues.",New Jersey,0,
1.44338e+18,30/09/2021 00:41,"On average, the chance of a white American having a potentially deadly blood clot is 3-in-1,000Germany stopped giving citizens under 60 the AstraZeneca vaccine after 31 severe blood clots in 2.7 MILLION people Great example of how overly-cautious vaccine roll-outs are https://t.co/6hrxKFBjve",New York,0,
1.44324e+18,29/09/2021 15:24,"@thereal_truther @lsprogress @Leftylockdowns1 1. This study doesn’t account for disease severity, the most important factor.2. The vaccinated cohort included the prior infected too.3. And it still shows natural immunity &gt; AstraZeneca.So Prof Crotty’s assertion that “vaccine immunity did somewhat better” is nonsense.",New York,0,
1.44601e+18,07/10/2021 07:09,Got news from kampung that my sis and my mom finally got their first dose of AstraZeneca vaccine. Alhamdulillah 😭😭😭 https://t.co/k4gJZFtiYM,California,0,
1.44809e+18,13/10/2021 00:44,"A total of 789 people in Taiwan died after receiving the new crown vaccine, mostly related to AstraZeneca vaccine https://t.co/0Sez9YCWu3",Indiana,0,
1.44846e+18,14/10/2021 01:14,Imagine going to all the trouble of stealing a vaccine and you end up with AstraZeneca https://t.co/L8z5JDpnYO,New York,0,
1.44904e+18,15/10/2021 16:02,"""Vaccination this Weekend, October 16 and  17. At AUA, 2nd doses of the COVID-19 Pfizer vaccine will be administered to adults and children. No 1st doses of Pfizer this weekend.MPCC will be opened Saturday from 9am to 3pmVaccines available: AstraZenecaJandJ Sinopharm""",New York,0,
1.45024e+18,18/10/2021 23:03,"""He Exposed Colombia’s Vaccine Contracts with Big Pharma. Then the Right Came for Him. - What the case of Camilo Enciso reveals about the power of pharmaceutical companies.""  https://t.co/9zFehLnUli",Mississippi,0,
1.45019e+18,18/10/2021 20:07,"😯 Nipah virus could cause another deadly pandemic, warns the inventor of AstraZeneca’s COVID vaccine #HLTH2021 @IrmaRaste  https://t.co/a3SLynupAm",Massachusetts,0,
1.45051e+18,19/10/2021 17:14,@drsanjaygupta - what’s your advice for people like my parents (80+ age) who got 2 shots of Covishield/ AstraZeneca vaccine in India &amp; are now in the US? Shd they be revaccinated w/ Moderna or Pfizer? Can/ shd they get a booster of one of these two? Any guidance wd be great! Thx!,California,0,
1.44151e+18,24/09/2021 21:06,"The booster drive through site will be open Monday–Friday from 10 am – 6 pm. Bring proof of vaccination, preferably your vaccine card that lists your previous vaccinations. Only Pfizer boosters will be available. Moderna and J&amp;J boosters are not recommended at this time.",North Carolina,0,
1.4415e+18,24/09/2021 20:17,"@stevecripe57 @FTWTX1 @WHCOVIDResponse @texasdemocrats Doctor on CNN today said that doctors can give Pfizer vaccine (off label) to others, such as those who got Modern or J&amp;J.",California,0,
