tweet_id,tweet_time,tweet_text,location,retweets
1449130163199938560,2021-10-15 21:48:49,FDA advisory panel votes 19-0 to endorse booster dose of J&amp;J vaccine https://t.co/cbUmjhjzyM via @statnews,"Reston, VA",0
1449123110423339022,2021-10-15 21:20:47,J&amp;J what u got 👀 https://t.co/0pO0MwWB6Y,"North Carolina, USA",0
1449119620787490817,2021-10-15 21:06:55,"@joshnathankazis Why doesn’t the FDA approve J&amp;J vaccine for boosters and our children??? They certainly had no qualms pushing through Pfizer despite myocarditis, pulmonary emboli, loss of menses, breakthrough Covid cases","Mineola, NY",0
1449118241515839494,2021-10-15 21:01:26,"@joshnathankazis Why is the FDA so slow to approve the J&amp;J Covid vaccine for children and booster. This is the only vaccine of the 3 that is traditional, has less adverse affects, less break through COVID. WHY ARE WE NOT QUESTIONING THE FDAs RAPID APPROVAL OF PFIZER???","Mineola, NY",0
1449095973691662343,2021-10-15 19:32:57,@tmprowell Thanks for update on #CovidVaccines booster shots. Wondering when we will see data on vaccines mix &amp; match that Fauci mentioned a few weeks ago &amp; some rumors that J&amp;J recipients should be boosted with mRNA vaccine. I have pt who got Sinovac in DR &amp; now getting Pfizer booster,"Manhattan, NY",0
1449088327169318912,2021-10-15 19:02:34,"@DrsMeena Yay! I got my J&amp;J vaccine in April, so my immunocompromised-self is just giddy about this!How long do you think it'll be before booster shots can get into arms?","Lee's Summit, MO",0
1449085559390019587,2021-10-15 18:51:34,Just got my J&amp;J Covid-19 vaccine. https://t.co/dK2p4yvLuc,"Queens, NY",0
1449080154282553349,2021-10-15 18:30:06,Great news that we need a booster for the J&amp;J vaccine. https://t.co/8p9vpqPAyc,"Portland, OR",0
1449071425499930628,2021-10-15 17:55:24,Breaking: FDA panel endorses boosters for J&amp;J vaccine. https://t.co/oK5Zki3u2G,"Manhattan, NY",0
1449069896852246529,2021-10-15 17:49:20,My job is requiring us to get the vaccine soon and I don’t want to but I think I’m going with the J&amp;J vaccine. I don’t trust moderna or Pfizer.,"Georgia, USA",0
1449069475526057988,2021-10-15 17:47:40,@DrAliSKhan @asanderford @kels2 @Prof_Lowe @thartman2u @NEDHHS @NEGovOffice @HealthDouglasCo @slthomps12 @unmc @LNKhealth @NebraskaMed @apoorva_nyc @nytimes @Craig_A_Spencer @UNMC_GCHS @UNLGLST @UNMCCRHDThe J &amp; J booster shots are approved.No word on whether we can mix and match booster vaccines yet.That said — America needs to keep sending more vaccine doses to the unvaccinated living in countries around the world 🌎https://t.co/hjOrIDGEoA,"Lincoln, NE",1
1449068467592826887,2021-10-15 17:43:39,FDA panel recommends a booster shot of Johnson &amp; Johnson vaccine for people 18 and olderNews for my fellow J&amp;J vaccinated peeps.https://t.co/Gd1bOV7HO0,"St Petersburg, FL",0
1449067324640792580,2021-10-15 17:39:07,"Thread.  @DLeonhardt comments on guidance being offered — or not offered — by @US_FDA to Americans vaccinated with Johnson &amp; Johnson’s vaccine.  Should they get a booster shot?  Of J&amp;J, or an mRNA vaccine? https://t.co/BPP6YhYOAT","Sun Prairie, WI",0
1449066623298535435,2021-10-15 17:36:20,"#BREAKING @US_FDA vaccine panel votes unanimously to approve @JNJNews booster for everyone who got the J&amp;J shot. All adults eligible, vs. just 65+ /high risk groups eligibility for @pfizer &amp; @moderna_tx boosters @KTVU https://t.co/SW9LHmIxzE","Oakland, CA",4
1448952731650170887,2021-10-15 10:03:46,TODAY: an FDA advisory committee will vote on booster shots for the J &amp; J vaccine. Will they allow people to mix with Pfizer or Moderna? #abc7NY https://t.co/yXIdRywxf0,Brooklyn Army Terminal Covid Test Site,2
1448874726311477248,2021-10-15 04:53:48,"@RadioGuyChris @StephMillerShow @Thom_Hartmann @DeanObeidallah @JohnFugelsang @MSignorile Yay thanks for replying Chris! I'm  sure it's common knowledge for us Sexy Liberals, it's just that I just hear (internet) that the actual vaccine hesitant talk about the mRNA like it's going to change your DNA because they share some of the same letters. Well fine. Take the J&amp;J!","Minneapolis, MN",0
1448842142139494413,2021-10-15 02:44:19,@steakshapiro There is a better chance of a person getting struck by lightning 2x in a row than getting blood cots from the J&amp;J vaccine,"Georgia, USA",0
1448831732929736706,2021-10-15 02:02:57,@j_Borders Yeah I’m not 100% on mandates but I just hate that rushed vaccine narrative it wasn’t rushed,"Trotwood, OH",0
1448831425218764803,2021-10-15 02:01:44,"@BrandonHonaker1 Furthermore, nobody has ever asked me for my vaccine record when traveling to other countries and I’ve been to more than 25","Virginia, USA",0
1448831186160267270,2021-10-15 02:00:47,@DogOnTheRoof @AndyMPok @CindtrilleIIa How many people get polio after being vaccinated? How many spread it after having the vaccine?,"Virginia, USA",0
