tweet_id,tweet_time,tweet_text,location,retweets
1448799944735870982,2021-10-14 23:56:38,"A key federal advisory committee voted unanimously Thursday to recommend emergency authorization of a booster shot for older and more vulnerable recipients of Moderna’s COVID-19 vaccine, a sign that millions of Americans who received their...https://t.co/UV0wnm1WHg","Pittsburgh, PA",0
1448797788351967232,2021-10-14 23:48:04,@mcq1818 @moderna_tx He said that the J&amp;J &amp; Pfizer vaccine had reports that it was producing blood clots in patients that were on blood thinners like me.,"Palm Coast, FL",0
1448795908737572864,2021-10-14 23:40:36,UPDATES: ICELAND next to suspend Moderna vaccine | ENGLAND hospitalizati... https://t.co/pUrbjQIahM via @YouTube,"Wisconsin, USA",0
1448795851468337159,2021-10-14 23:40:22,NEW TODAY: The @US_FDA says some Americans who received Moderna’s COVID-19 vaccine should get a half-dose booster. https://t.co/JlM8Qx5AT1,"San Diego, CA",0
1448795043301560325,2021-10-14 23:37:10,"When I had COVID-19 it ended up producing a huge blood 🩸 clot in my left calf, that broke off into small clots that went to my lungs. Three weeks ago I had another clot in my right calf. When I received the vaccine my doctor said to only get the @moderna_tx vaccine.","Palm Coast, FL",2
1448793756572930048,2021-10-14 23:32:03,"@PureFormHCS @unknownbeepboop @susan52132641 @jessforbiden Here’s the 68 countries who have used the Moderna vaccine, a fact you could have also googled. https://t.co/M2S94NRkpB","Ventura, CA",0
1448788436882755586,2021-10-14 23:10:55,@JamesEKHildreth Do you know if a Moderna vaccine is going to be approved for children I the near future?,"North Carolina, USA",0
1448786490192957442,2021-10-14 23:03:11,"In February: Profile of Lexie Matthews, a nurse administering vaccines on the front lines of the COVID-19 pandemic in Monroe County (4/?) https://t.co/w2FnknQBpp","Indiana, USA",0
1448784797074079756,2021-10-14 22:56:27,"Middleton Essex county jail has not offered Pfizer or Moderna, booster vaccine’s for high-risk ppl &amp; has not offered the flu vaccine &amp; not administering the covid vaccine to those who are requesting for the covid vaccine! That is a violation of their civil rights!","Boston, MA",0
1448779010650132482,2021-10-14 22:33:27,And on the Moderna vaccine. https://t.co/wtsuoOwh1k,"Houston, TX",0
1448772406252908550,2021-10-14 22:07:13,Moderna has become the world's vaccine boogeymanhttps://t.co/EW6whRrWh1,"Amityville, NY",0
1448770325919977479,2021-10-14 21:58:57,FDA vaccine advisers recommend emergency use authorization for booster dose of Moderna's Covid-19 vaccinehttps://t.co/QBPTaqrBzF,"Amityville, NY",0
1448736326505877506,2021-10-14 19:43:51,FDA panel endorses lower-dose Moderna COVID shot for booster https://t.co/jijxv9vROd via @JournalNow#50 Microgram Moderna Covid-19 vaccine booster vaccine,"North Carolina, USA",0
1448735492737060871,2021-10-14 19:40:32,"Can I get my Moderna mRNA 1273 vaccine booster now?!?!? I am over #65, and I have to get my epidural Cortisteroid injection in November!?!?!? https://t.co/P1kvdBqCEB","North Carolina, USA",0
1448735017912311809,2021-10-14 19:38:39,"This just in, @FDABacks #modernavaccine#boosterhttps://t.co/ArQ7E0cuQ9","San Francisco, CA",0
1448734986425626624,2021-10-14 19:38:31,"@FDA You hear this. It's ridiculous that you haven't given the okay yet.Open SmartNews and read ""Experts recommend that FDA should authorize Moderna COVID vaccine booster"" here: https://t.co/WumSgAH32m To read it on the web, tap here: https://t.co/NQnlKLTjZA","Clearlake Oaks, CA",0
1448734080565141508,2021-10-14 19:34:55,FDA panel endorses lower-dose Moderna COVID shot for boosterhttps://t.co/wzyJZyS865,"St Petersburg, FL",0
1448732964825747456,2021-10-14 19:30:29,Bigger impact locally as Moderna was most commonly given out in our counties during the initial vaccine blitz. https://t.co/gNfiXiyK8R,"Kendallville, IN",0
1448731389139038217,2021-10-14 19:24:13,FINALLY!!!!FDA vaccine advisers vote unanimously to recommend emergency authorization of a booster dose of Moderna's Covid-19 vaccinehttps://t.co/UOnQf8I7KM,"Queens, NY",0
1448730621824675845,2021-10-14 19:21:11,FDA vaccine advisers vote unanimously to recommend emergency authorization of a booster dose of Moderna's Covid-19 vaccine https://t.co/Al4b1uIaet,"Connecticut, USA",0
1448729686218088451,2021-10-14 19:17:27,"TONIGHT: Virginia’s vaccine coordinator says Moderna and J &amp; J COVID-19 boosters could be available in about two weeks, if approved. Dr. Avula is also talking about the potential to mix and match vaccines and what it means for you on @NBC12 News starting at 4. https://t.co/YLb5uOEhv9","Richmond, VA",4
1448728687755546631,2021-10-14 19:13:29,WASHINGTON (AP) — US advisory panel endorses Moderna COVID-19 vaccine booster shots for seniors and other high-risk groups.,"Washington, DC",22
1448706509005852676,2021-10-14 17:45:22,"Fact Check: Have Finland, Sweden, Norway and Iceland 'Banned' Moderna Vaccine? https://t.co/vDAqynzR1M @cthagod, the caller this morning was off a bit.","Georgia, USA",0
1448701113688023041,2021-10-14 17:23:55,"@meedoS23 He started saying something about moderna and she said “let’s be careful” cause you’re not allowed to say anything negative about the vaccine on air, even if it’s true","Charlotte, NC",0
1448678871835021315,2021-10-14 15:55:32,@jMc3115RC @TODAYshow @3rdHourTODAY I got vaccinated and got very sick after each of the 2 Moderna shots. I wear a mask and I do not personally recommend the vaccine only from my horrible experience.,"De Pere, WI",0
1448670950887723015,2021-10-14 15:24:04,Required viewing: How 2 vaccinate the world! Feel the intensity as @_HassanF @jbkrell @zainrizvi challenge David Kessler from the White House on global vaccine access. @potus has no real plan. @moderna_tx is the @peoplesvaccine &amp; belongs to the world https://t.co/tvQdV1WYxC,"Washington, DC",2
1448630440865288196,2021-10-14 12:43:06,a malaria vaccine has been approved by the WHO. the first ever parasitic vaccine. moderna has been approved to begin clinical trials for a new HIV (mRNA) vaccine.,"Atlanta, GA",6
1448585798501142536,2021-10-14 09:45:42,FDA panel to meet Thursday discussing Moderna's COVID-19 vaccine booster https://t.co/jFRPxCIbTi via @YouTube,"Ypsilanti, MI",0
1448585776996945923,2021-10-14 09:45:37,FDA panel to meet Thursday discussing Moderna's COVID-19 vaccine booster https://t.co/7wfa8jpi64 via @YouTube,"Ypsilanti, MI",0
1448545366127755265,2021-10-14 07:05:02,"@Phreckles @raiii462 @NathanMackBrown @Bellamy11111 You’re right. The technology is not new but the actual vaccine itself is, isn’t it? And there are differences among the J&amp;J, Moderna, and Pfizer.","Palm Springs, CA",0
1448486963980423170,2021-10-14 03:12:58,Finland Follows Sweden and Denmark in Halting Use of Moderna Vaccine for Younger Age Group https://t.co/1BHVqAIjE3,"Bronx, NY",0
1448485168419774478,2021-10-14 03:05:50,"“In three groups, volunteers received the same vaccine for a boost. In the other six, they switched to a different brand.The researchers found that those who got a Johnson &amp; Johnson shot followed by a Moderna booster saw their antibody levels rise 76-fold within 15 days,…","San Francisco, CA",0
1448485158588276738,2021-10-14 03:05:48,"People who received a J.&amp;J. vaccine may be better off with a Moderna or Pfizer booster, a study finds. @nytimes https://t.co/x3HrRHLS7g","San Francisco, CA",0
1448466786836492288,2021-10-14 01:52:47,Important table of booster plus primary vaccine responses.Janssen plus Moderna or Pfizer booster is strikingly different as compared to janssen plus janssen booster.So should we consider mix &amp; match approach as better way to get immunogenic response? Small study but maybe… https://t.co/Bis2xtAJMl,"Lakewood, CO",0
