tweet_id,tweet_time,tweet_text,location,retweets
1446600925087473668,2021-10-08 22:18:31,"Got #boostershot of Covid-19 #vaccine  developed by @pfizerinc#believe in Science If you get an opportunity, consider getting #boosted. (‼Only available for those who have completed second shot of Pfizer vaccine at least 6 months ago) 2021 year of #hope@vanderbilthealth https://t.co/n48NaFdthq","Nashville, TN",0
1446590219441037315,2021-10-08 21:35:59,"Got my 3rd Pfizer, 3rd COVID vaccine card, and my influenza shot today! Time to #VaxUp! Thanks to @bergmanscott for the photos and to @unmc for the efficient vaccine clinics! https://t.co/i9UnOyKbtR",Nebraska Medical Center - Nebraska Medicine,0
1446584632296755200,2021-10-08 21:13:47,The latest Pfizer-funded study comes one day after a separate BioRxiv study published on Oct. 4 that found that antibody levels generated by two shots of the Pfizer-BioNTech vaccine can undergo up to a 10-fold decrease seven months following the second vaccination.,"Independence, MO",0
1446580591835500546,2021-10-08 20:57:43,This innocent woman was forced to take the Pfizer vaccine by her employer on Saturday. This is her on Sunday. Money ain’t worth it people. https://t.co/56e32azeHQ,"West Hollywood, CA",1
1446580084849233926,2021-10-08 20:55:43,"@IshFigs83 @thehill For example: I’ve had 2 Pfizer + the booster, and have ZERO antibodies. I had my transplant 3 years ago. She would have a better outcome because she has the chance to get the vaccine pre transplant.","Mississippi, USA",0
1446574293920399369,2021-10-08 20:32:42,@pfizer continues to lie about this vaccine. Have you fired Nick Karl?,"Pennsylvania, USA",0
1446572522049314819,2021-10-08 20:25:39,@IslandDustin @pfizer Thanks for the feedback. You had sustained heart arrhythmia from the first shot?  Mine still hasn’t gone away since January 2021.  I manage it through low inflammation and restrictive diet. So it’s a long haul affect from the vaccine.,"Franklin, TN",0
1446566581581099010,2021-10-08 20:02:03,Flu vaccine on the leftPfizer booster on the rightSwag bag courtesy of @NYCHealthSystem / WoodhullLet’s go!!! (…also #BroadwayIsBack) https://t.co/QDrduO3ZNH,Woodhull Medical & Mental Health Center,2
1446559300051259393,2021-10-08 19:33:07,"Pfizer Admits Most People DO NOT NEED the Vaccine, 200 MILLION People are Naturally Immune@RealRedElephants https://t.co/srdGe2tZjV","Charlotte, NC",0
1446557706253312001,2021-10-08 19:26:47,Who’s giving the Pfizer vaccine for free? 👀,"Bakersfield, CA",0
1446557096833470464,2021-10-08 19:24:22,"@Jessegaron5 @YrManCldNvr Yes I got the Pfizer vaccine. They offered it to Native Americans, where I got my shots at.","Scottsdale, AZ",0
1446537616971735040,2021-10-08 18:06:57,Pfizer tested their Covid-19 vaccine on cloned primate kidney cells and begins protection degradation within a month of the second injection. Moderna used cloned human lung cells first and protection lasts longer. Which do you think is safer for children 12 and under?,"Ohio, USA",2
1446524725216284675,2021-10-08 17:15:44,"@pfizer thanks so much for hiding the fact that your #covid19 ""vaccine"" was tested on #fetalcells from #aborted children. I would have NEVER taken your vaccine because it violates my moral conscious. If there are any attorneys filing a #classactionlawsuit, I would love to join!","Miami Heights, OH",0
1446524253805821955,2021-10-08 17:13:51,Timcast IRL - Pfizer Email Leak Shows Fetal Cells Used To Make Vaccine w... https://t.co/TO0IhJLyKL via #timcast,"Incline Village, NV",0
1446519884326842376,2021-10-08 16:56:30,Why is #Pfizer the only Vax for kids?#vaccine #CovidVaccine #Covid19US,"Peru, IL",0
1446500455106945030,2021-10-08 15:39:17,It's true! Pfizer doesn't want you to know they used human cells to make the vaccine! https://t.co/4sNzY8R79r,"Illinois, USA",0
1446498885619175435,2021-10-08 15:33:03,@crysstohn @lm9382 @TanyaC76 @donkeylawyer @DonaldJTrumpJr From the Israeli study:“The researchers also found that people who had SARS-CoV-2 previously and received one dose of the Pfizer-BioNTech messenger RNA (mRNA) vaccine were more highly protected against reinfection than those who once had the virus and were still unvaccinated”,"San Diego, CA",0
1446492749910450182,2021-10-08 15:08:40,@JDelungo @TheDCSentinel @BernieBankers @AndrewYang @trvrb FTA: “The researchers also found that people who had SARS-CoV-2 previously and received one dose of the Pfizer-BioNTech messenger RNA (mRNA) vaccine were more highly protected against reinfection than those who once had the virus and were still unvaccinated. “,"Clifton Park, NY",0
1446492650174038018,2021-10-08 15:08:16,"@WolfeCache @PeterHotez They halted Moderna.  The US is evaluating the Pfizer vaccine for children, at 1/3 the dose approved for adults.","Appleton, WI",0
1446490942479994882,2021-10-08 15:01:29,Pfizer asks for FDA emergency authorization of COVID-19 vaccine for youn... https://t.co/fleoPxnpWl via @YouTube,"Ypsilanti, MI",0
1446490907105239063,2021-10-08 15:01:21,Pfizer asks for FDA emergency authorization of COVID-19 vaccine for youn... https://t.co/xe3ToBjdMD via @YouTube,"Ypsilanti, MI",0
1446487209054511111,2021-10-08 14:46:39,"UPDATE: As of 10:40 AM, I have received my booster shot of the Pfizer COVID-19 vaccine! Just a friendly reminder that wearing masks, social distancing, frequent hand washing, and most importantly, getting #vaccinated, are the only ways to end this pandemic. https://t.co/5C59Vkm77H",Walmart Pharmacy,0
1446482418681008133,2021-10-08 14:27:37,hey so        i got the vaccine a few months ago and the complimentary mental 5G service or whatever hasn’t kicked in yet ?? @ATT @Verizon @pfizer ?? is there a hotline i can call,"Carlsbad, CA",0
1446469695217995810,2021-10-08 13:37:04,Pfizer Seeks Approval For Its Vaccine For Kids 5-11 https://t.co/71jxezQNx2 via @YouTube,"Ypsilanti, MI",0
1446469669901176882,2021-10-08 13:36:58,Pfizer Seeks Approval For Its Vaccine For Kids 5-11 https://t.co/lS8RBWiHQb via @YouTube,"Ypsilanti, MI",0
1446467868699267122,2021-10-08 13:29:48,Pfizer said on Oct. 7 that it had submitted a request to U.S. drug regulators to expand the authorization for its COVID-19 vaccine to children between the ages of 5 and 11. https://t.co/iUlkAMuwAj,"Naples, FL",2
1446455286865219587,2021-10-08 12:39:48,"Why does the vaccine have to be made political?  All through life, I got shots to protect me and this is not different.  I got Pfizer shots 1, 2 and the “booster for old people”.  No pain; no side effects.  God gave me a brain to make intelligent decisions.","Greenville, TX",0
1446436041204768776,2021-10-08 11:23:20,@msqtokila @sigstarget No. But I’m sure Pfizer will soon have a vaccine for the unborn!,"Minot, ND",1
1446391745848172574,2021-10-08 08:27:19,I’m not vaccine hesitant.I just do the opposite of what felons say to do. #Pfizer,"Michigan, USA",2
1446322020967354375,2021-10-08 03:50:15,@boiseb @pfizer “The researchers also found that people who had SARS-CoV-2 previously and received one dose of the Pfizer-BioNTech messenger RNA (mRNA) vaccine were more highly protected against reinfection than those who once had the virus and were still unvaccinated.”https://t.co/W2Nhg2owa8,"Boise, ID",0
1446314517365813253,2021-10-08 03:20:26,Pfizer asking FDA to authorize Covid-19 vaccine for 5 to 11 year olds. Data from Stanford study included. https://t.co/huNb0xlhJB,"San Francisco, CA",0
1446309814452113413,2021-10-08 03:01:45,"For anyone that doesn't know this already. We need to all take our vaccines (Pfizer, or Moderna) so we can all finally get over the Pandemic. Please everyone take your vaccine. No you are not going to get chips injected, or become sterile, or anything else, and if you do let me","Kent, WA",0
1446298976601391104,2021-10-08 02:18:41,Pfizer seeking emergency use authorization for COVID-19 vaccine for kids ages 5-11  https://t.co/XSBtJyFkgo,"Forest Acres, SC",0
1446295197428551681,2021-10-08 02:03:40,Timcast IRL - Pfizer Email Leak Shows Fetal Cells Used To Make Vaccine w... https://t.co/AC2f3hQOaX via @YouTube,"Wyoming, USA",0
1446293337133178883,2021-10-08 01:56:17,"@BrandonMcKean6 @FDA @YahooNews It still has EUA and is available. I believe it had been used quite a bit less than Moderna and Pfizer, particularly after the cerebral blood clot warning. Also, I think this is a vaccine the US has shipped a lot to other countries","Minnesota, USA",0
1446287164606754819,2021-10-08 01:31:45,Yoooooooo I'm on TVhttps://t.co/RquDUCgAMo,"Indianapolis, IN",1
1446285487992414210,2021-10-08 01:25:05,When’s Pfizer dropping a UTI vaccine,"Boston, MA",1
1446283151286939648,2021-10-08 01:15:48,@JohnRushemeza @JennaEllisEsq The whistleblowers at Pfizer did. They stated that natural immunity is better than their own vaccine.,"North Carolina, USA",1
1446277995526774789,2021-10-08 00:55:19,"Pfizer booster and labs last week, bone scan tomorrow, Flu vaccine Monday, sinus CT, ortho follow up next week and scopes and BAVO Ph study in 2 weeks. Are there #healthcare frequent flier benefits? Upgrade to first class, complimentary cocktails, warm facecloth?🤷🏻‍♂️ https://t.co/ZO6RPftmTT","Lordship, CT",0
1446269498512785411,2021-10-08 00:21:33,No it is not. The Pfizer vaccine that has approval is not available in the US. Fact check and you will see. https://t.co/Ebgn7K1oPP,"Virginia, USA",0
1446266474801344517,2021-10-08 00:09:32,Timcast IRL - Pfizer Email Leak Shows Fetal Cells Used To Make Vaccine w... https://t.co/6odWe3yjGl via @YouTube,"Punta Gorda, FL",0
1446266135108857857,2021-10-08 00:08:11,Pfizer requests emergency use authorization for COVID vaccine in children https://t.co/s9GK0NcV0G via @YouTube,"Ypsilanti, MI",0
1446266105685807104,2021-10-08 00:08:04,Pfizer requests emergency use authorization for COVID vaccine in children https://t.co/Ve5LEGgLJq via @YouTube,"Ypsilanti, MI",0
1446266073150492696,2021-10-08 00:07:56,Pfizer Asks F.D.A. to Authorize Its Covid-19 Vaccine for Children 5 to 11 https://t.co/wDAkdHejIK,"Los Angeles, CA",0
